id,post_id,post_title,title,description,keywords,keyphrases,page_analysis,primary_term,canonical_url,og_title,og_description,og_object_type,og_image_type,og_image_url,og_image_width,og_image_height,og_image_custom_url,og_image_custom_fields,og_video,og_custom_url,og_article_section,og_article_tags,twitter_use_og,twitter_card,twitter_image_type,twitter_image_url,twitter_image_custom_url,twitter_image_custom_fields,twitter_title,twitter_description,schema,pillar_content,robots_default,robots_noindex,robots_noarchive,robots_nosnippet,robots_nofollow,robots_noimageindex,robots_noodp,robots_notranslate,robots_max_snippet,robots_max_videopreview,robots_max_imagepreview,priority,frequency,limit_modified_date,created,updated
393,3,Политика за поверителност,,,,,,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:36:57,2025-01-11 12:27:00
394,7,Продукти,,,,,,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:36:57,2025-03-01 15:01:01
395,8,Количка,,,,,,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:36:57,2025-01-11 12:09:16
396,9,Завърши поръчка,,,,,,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:36:57,2025-01-11 12:09:16
397,4868,Моя профил,,,,,,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:36:57,2025-01-12 20:34:00
398,17,Home 1,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Home 1 – уникален аксесоар за вашия стил, Ръчно изработено бижу - Home 1, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:37:57,2025-01-06 03:37:57
399,23,Блог,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Блог – уникален аксесоар за вашия стил, Ръчно изработено бижу - Блог, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:37:57,2025-01-11 12:09:16
400,25,Любими продукти,,,,,,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:37:57,2025-01-11 12:09:48
401,216,Контакти,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Контакти, перфектно за всеки ден, Купете Контакти – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:37:57,2025-03-01 15:01:01
402,418,Home 2,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Home 2, перфектно за всеки ден, Купете Home 2 – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:37:57,2025-01-06 03:37:57
403,795,Home 3,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Home 3 – уникален аксесоар за вашия стил, Ръчно изработено бижу - Home 3, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:37:57,2025-01-06 03:37:57
404,1789,Общи условия,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Общи условия, перфектно за всеки ден, Купете Общи условия – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:37:57,2025-03-03 18:11:09
405,11,Refund and Returns Policy,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Refund and Returns Policy, перфектно за всеки ден, Купете Refund and Returns Policy – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:37:57,2025-01-06 03:37:57
406,1835,За дизайнера,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - За дизайнера, перфектно за всеки ден, Купете За дизайнера – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:37:57,2025-03-01 09:39:32
407,1845,Режим на профилактика,,,,,,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:37:57,2025-01-11 12:09:48
408,2045,Нашите булки-deleted,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Нашите булки-deleted – уникален аксесоар за вашия стил, Ръчно изработено бижу - Нашите булки-deleted, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:38:57,2025-02-27 20:39:03
409,2051,Елена,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Елена – уникален аксесоар за вашия стил, Ръчно изработено бижу - Елена, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,-1.0,-1.0,large,,default,0,2025-01-06 03:38:57,2025-01-12 19:58:51
410,2340,Home 4,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Home 4 – уникален аксесоар за вашия стил, Ръчно изработено бижу - Home 4, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:38:57,2025-01-06 03:38:57
411,2541,Home 5,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Ръчно изработено бижу - Home 5, перфектно за всеки ден, Купете Home 5 – уникален аксесоар за вашия стил",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:38:57,2025-01-06 03:38:57
412,2549,Home 6,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Home 6 – уникален аксесоар за вашия стил, Ръчно изработено бижу - Home 6, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:38:57,2025-01-06 03:38:57
413,3214,Home 7,,,"ръчно изработени бижута, елегантни аксесоари, луксозни бижута, ежедневни бижута","Купете Home 7 – уникален аксесоар за вашия стил, Ръчно изработено бижу - Home 7, перфектно за всеки ден",,,,,,default,default,,,,,,,,,,0,default,default,,,,,,"{""blockGraphs"":[],""customGraphs"":[],""default"":{""data"":{""Article"":[],""Course"":[],""Dataset"":[],""FAQPage"":[],""Movie"":[],""Person"":[],""Product"":[],""ProductReview"":[],""Car"":[],""Recipe"":[],""Service"":[],""SoftwareApplication"":[],""WebPage"":[]},""graphName"":"""",""isEnabled"":true},""graphs"":[]}",0,1,0,0,0,0,0,0,0,,,large,,,0,2025-01-06 03:38:57,2025-01-06 03:38:57
